scenario,setting,precision,recall,f1,execution_count,source_fingerprint
cmt_renamed,adjusted_naming,0.9310,0.9310,0.9310,1,1a8278d1adce9408dea47cf63647dc18ec9243849d17f9d9fd39a0f8468f5438
conference_renamed,adjusted_naming,0.9487,0.9487,0.9487,1,1a8278d1adce9408dea47cf63647dc18ec9243849d17f9d9fd39a0f8468f5438
sigkdd_renamed,adjusted_naming,0.9651,0.9646,0.9649,1,1a8278d1adce9408dea47cf63647dc18ec9243849d17f9d9fd39a0f8468f5438
cmt_structured,restructured,0.7931,0.7931,0.7931,1,1a8278d1adce9408dea47cf63647dc18ec9243849d17f9d9fd39a0f8468f5438
conference_structured,restructured,0.8379,0.8462,0.8412,1,1a8278d1adce9408dea47cf63647dc18ec9243849d17f9d9fd39a0f8468f5438
sigkdd_structured,restructured,0.9651,0.9646,0.9649,1,1a8278d1adce9408dea47cf63647dc18ec9243849d17f9d9fd39a0f8468f5438
sigkdd_mixed,combined,0.9651,0.9646,0.9649,1,1a8278d1adce9408dea47cf63647dc18ec9243849d17f9d9fd39a0f8468f5438
conference_nofks,missing_fks,0.8718,0.8718,0.8718,1,1a8278d1adce9408dea47cf63647dc18ec9243849d17f9d9fd39a0f8468f5438
cmt_denormalized,denormalized,0.5200,0.5200,0.5200,1,1a8278d1adce9408dea47cf63647dc18ec9243849d17f9d9fd39a0f8468f5438
mondial_rel,geographic,0.5758,0.5918,0.5784,1,1a8278d1adce9408dea47cf63647dc18ec9243849d17f9d9fd39a0f8468f5438
npd_atomic_tests,petroleum,0.3469,0.4333,0.3637,1,1a8278d1adce9408dea47cf63647dc18ec9243849d17f9d9fd39a0f8468f5438

