scenario,setting,precision,recall,f1,execution_count,source_snapshot
cmt_renamed,adjusted_naming,0.8966,0.8966,0.8966,1,36382fe941480958f4186543998fc195f39f4862
conference_renamed,adjusted_naming,0.9487,0.9487,0.9487,1,36382fe941480958f4186543998fc195f39f4862
sigkdd_renamed,adjusted_naming,0.9651,0.9646,0.9649,1,36382fe941480958f4186543998fc195f39f4862
cmt_structured,restructured,0.8966,0.8966,0.8966,1,36382fe941480958f4186543998fc195f39f4862
conference_structured,restructured,0.8123,0.8205,0.8156,1,36382fe941480958f4186543998fc195f39f4862
sigkdd_structured,restructured,0.9651,0.9646,0.9649,1,36382fe941480958f4186543998fc195f39f4862
sigkdd_mixed,combined,0.9651,0.9646,0.9649,1,36382fe941480958f4186543998fc195f39f4862
conference_nofks,missing_fks,0.8462,0.8462,0.8462,1,36382fe941480958f4186543998fc195f39f4862
cmt_denormalized,denormalized,0.7764,0.7714,0.7734,1,36382fe941480958f4186543998fc195f39f4862
mondial_rel,geographic,0.3482,0.3478,0.3446,1,36382fe941480958f4186543998fc195f39f4862
npd_atomic_tests,petroleum,0.3599,0.4469,0.3765,1,36382fe941480958f4186543998fc195f39f4862

