database,precision,recall,f1,matched_declared_fks,missing_declared_fks,unmatched_predictions,llm_calls,total_tokens,status
cmt_renamed,0.6774193548,0.3043478261,0.4200000000,21,48,10,32,95289,completed
conference_renamed,0.5974025974,0.5542168675,0.5750000000,46,37,31,39,103918,completed
sigkdd_renamed,0.8181818182,0.4218750000,0.5567010309,27,37,6,39,102866,completed
cmt_structured,0.9782608696,0.8653846154,0.9183673469,45,7,1,27,41000,completed
conference_structured,0.9428571429,0.7021276596,0.8048780488,33,14,2,34,101347,completed
sigkdd_structured,1.0000000000,0.7931034483,0.8846153846,23,6,0,19,37261,completed
sigkdd_mixed,1.0000000000,0.4827586207,0.6511627907,14,15,0,13,29628,completed
cmt_denormalized,1.0000000000,0.9487179487,0.9736842105,37,2,0,32,52393,completed
mondial_rel,1.0000000000,0.5897435897,0.7419354839,23,16,0,33,111619,completed
npd_atomic_tests,0.7820512821,0.7820512821,0.7820512821,61,17,17,0,0,completed
micro_aggregate,0.8312342569,0.6238185255,0.7127429806,330,199,67,268,675321,completed

