scenario,setting,precision,recall,f1,evidence_status
cmt_renamed,fk_removed,0.8621,0.8621,0.8621,canonical_final_artifact
conference_renamed,fk_removed,0.8974,0.8974,0.8974,canonical_final_artifact
sigkdd_renamed,fk_removed,0.8961,0.8957,0.8959,canonical_final_artifact
cmt_structured,fk_removed,0.8621,0.8621,0.8621,canonical_final_artifact
conference_structured,fk_removed,0.8205,0.8205,0.8205,canonical_final_artifact
sigkdd_structured,fk_removed,0.9651,0.9646,0.9649,canonical_final_artifact
sigkdd_mixed,fk_removed,0.8961,0.8957,0.8959,canonical_final_artifact
cmt_denormalized,fk_removed,0.5600,0.5600,0.5600,canonical_final_artifact
mondial_rel,fk_removed,0.2826,0.3203,0.2885,canonical_final_artifact
npd_atomic_tests,fk_removed,0.3436,0.4292,0.3617,canonical_final_artifact
rename_macro,reported_category,,,0.8851,derived_from_three_datasets
restructured_macro,reported_category,,,0.8825,derived_from_three_datasets
mixed,reported_category,,,0.8959,one_dataset
denormalized,reported_category,,,0.5600,one_dataset
geographic,reported_category,,,0.2885,one_dataset
petroleum,reported_category,,,0.3617,one_dataset
six_category_macro,reported_aggregate,,,0.6456,derived_from_reported_categories

